date,ticker,option_price,stock_price,delta,delta_raw,signal_side,option_qty,num_contracts,stock_position,dte,days_held,bars_held,daily_pnl,cumulative_pnl,option_pnl,stock_pnl
2013-10-11,JPM,1.3849999999999998,52.51,-0.508608,0.508608,-1,-18,18,915.4943999999999,36,1,1,0.0,0.0,-0.0,0.0
2013-10-14,JPM,1.4849999999999999,52.71,-0.536791,0.536791,-1,-18,18,966.2238000000001,33,2,2,1.7619066630024207,1.7619066630024207,-180.00000000000017,183.0988800000026
2013-10-15,JPM,1.315,52.31,-0.49279,0.49279,-1,-18,18,887.022,32,3,3,-82.56104307899878,-80.79913641599636,305.9999999999999,-386.48951999999866
2013-10-16,JPM,0.805,54.0,-0.38559,0.38559,-1,-18,18,694.062,31,4,4,2411.857259999998,2331.058123584002,917.9999999999999,1499.067179999998
2013-10-17,JPM,0.825,54.21,-0.40577,0.40577,-1,-18,18,730.3860000000001,30,5,5,108.76845798000076,2439.8265815640025,-35.99999999999983,145.7530200000006
2013-12-18,ORCL,0.855,34.6,0.445189,0.445189,1,31,31,-1380.0859,31,1,1,0.0,0.0,0.0,-0.0
2013-12-19,ORCL,0.535,36.6,0.410287,0.410287,1,31,31,-1271.8897000000002,30,2,2,-3754.15179046,-3754.15179046,-991.9999999999999,-2760.1718
2014-01-14,JPM,1.34,57.74,0.543357,0.543357,1,15,15,-815.0355,39,1,1,0.0,0.0,0.0,-0.0
2014-01-15,JPM,1.01,59.49,0.446711,0.446711,1,15,15,-670.0665,38,2,2,-1925.624227905,-1925.624227905,-495.0000000000001,-1426.312125
2014-01-21,JNJ,0.73,94.03,0.361992,0.361992,1,13,13,-470.58959999999996,32,1,1,0.0,0.0,0.0,-0.0
2014-01-21,IBM,3.95,188.43,-0.444817,0.444817,-1,-5,5,222.4085,32,1,1,0.0,0.0,-0.0,0.0
2014-01-22,JNJ,0.9,94.32,0.412335,0.412335,1,13,13,-536.0355,31,2,2,81.44258735600383,81.44258735600383,221.00000000000006,-136.47098399999624
2014-01-22,IBM,4.125,182.25,-0.612752,0.612752,-1,-5,5,306.376,31,2,2,-1469.6360684375015,-1469.6360684375015,-87.49999999999991,-1374.4845300000015
2014-01-23,JNJ,1.31,92.74,0.536502,0.536502,1,13,13,-697.4526,30,3,3,1372.451179072999,1453.8937664290027,533.0,846.936089999999
2014-02-25,HD,1.24,80.98,-0.479286,0.479286,-1,-1,1,47.928599999999996,31,1,1,0.0,0.0,-0.0,0.0
2014-02-26,HD,1.09,81.7,-0.449169,0.449169,-1,-1,1,44.9169,30,2,2,49.38556405499994,49.38556405499994,14.999999999999991,34.50859199999994
2014-04-11,JPM,1.5950000000000002,55.3,-0.547125,0.547125,-1,-11,11,601.8375,36,1,1,0.0,0.0,-0.0,0.0
2014-04-14,JPM,1.315,54.96,-0.508257,0.508257,-1,-11,11,559.0826999999999,33,2,2,102.20034809600253,102.20034809600253,308.0000000000003,-204.62474999999776
2014-04-15,JPM,1.1349999999999998,54.8,-0.47922,0.47922,-1,-11,11,527.1419999999999,32,3,3,107.67159281999811,209.87194091600065,198.00000000000017,-89.45323200000206
2014-04-17,JPM,1.245,55.22,-0.542169,0.542169,-1,-11,11,596.3859,30,5,5,98.48781592100053,308.3597568370012,-121.00000000000036,221.3996400000009
2014-07-16,BAC,0.385,15.51,0.506037,0.506037,1,7,7,-354.22589999999997,37,1,1,0.0,0.0,0.0,-0.0
2014-07-18,BAC,0.38,15.49,0.506509,0.506509,1,7,7,-354.55629999999996,35,3,3,3.5819590519998448,3.5819590519998448,-3.500000000000003,7.084517999999848
2014-07-22,BAC,0.345,15.52,0.517229,0.517229,1,7,7,-362.0603,31,5,5,-35.19492003999979,-31.612960987999948,-24.50000000000002,-10.636688999999771
2014-07-24,AMZN,16.475,358.61,-0.533843,0.533843,-1,-1,1,53.384299999999996,36,1,1,0.0,0.0,-0.0,0.0
2014-07-30,AMZN,9.350000000000001,322.51,-0.509679,0.509679,-1,-1,1,50.9679,30,5,5,-1215.062886582001,-1215.062886582001,712.5,-1927.173230000001
2014-10-14,JNJ,2.09,97.01,0.463239,0.463239,1,1,1,-46.3239,39,1,1,0.0,0.0,0.0,-0.0
2014-10-17,JNJ,2.9699999999999998,98.7,0.592104,0.592104,1,1,1,-59.21039999999999,36,4,4,9.076660225000087,9.076660225000087,87.99999999999999,-78.2873909999999
2014-10-20,JNJ,1.345,99.2,0.425988,0.425988,1,1,1,-42.5988,33,5,5,-192.92913535999998,-183.85247513499988,-162.49999999999997,-29.605199999999996
2014-10-23,MSFT,1.11,45.02,0.514382,0.514382,1,21,21,-1080.2022,30,1,1,0.0,0.0,0.0,-0.0
2014-10-23,CMCSA,1.295,53.22,-0.536788,0.536788,-1,-2,2,107.3576,30,1,1,0.0,0.0,-0.0,0.0
2015-01-15,BAC,0.645,15.2,0.576329,0.576329,1,44,44,-2535.8476,36,1,1,0.0,0.0,0.0,-0.0
