action,date,ticker,signal_date,option_price,stock_price,delta,delta_raw,signal_side,option_qty,stock_position,num_contracts,strike,expiry,dte,entry_cost,rank,prediction,target_weight,target_delta_exposure,per_contract_delta_exposure,exit_reason,days_held,bars_held,realized_pnl,exit_cost
enter,2018-10-30,AMGN,2018-10-29,8.0,189.08,0.493385,0.493385,1,2,-98.677,2,190.0,2018-12-21,52.0,1602.0,5.0,0.011978133,0.7615336935725049,46906.60568769029,9328.92358,,,,,
enter,2018-10-30,BP,2018-10-29,1.505,42.21,-0.494129,0.494129,-1,-2,98.8258,2,42.0,2018-12-21,52.0,303.0,27.0,0.0025989232,-0.2384663064274952,22371.29001078888,2085.7185090000003,,,,,
exit,2018-11-01,AMGN,,8.0,189.08,,,1,2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,-43.32892358,43.32892358
exit,2018-11-01,BP,,1.145,42.65,,,-1,-2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,101.33343908999979,8.40923291
enter,2018-11-13,HD,2018-11-12,4.75,179.0,0.474287,0.474287,1,5,-237.1435,5,180.0,2018-12-21,38.0,2380.0,2.0,0.015191259,1.0,46912.28432474683,8489.7373,,,,,
exit,2018-11-15,HD,,5.375,179.9,,,1,5,,5,,,,,,,,,,hpr_limit_exit,3.0,3.0,6.436236224998581,81.221713775
enter,2019-01-23,CMCSA,2019-01-22,1.0,36.89,0.503332,0.503332,1,15,-754.9979999999999,15,37.0,2019-02-22,30.0,1515.0,5.0,0.002176579,1.0,46917.18083444933,1856.7917479999999,,,,,
exit,2019-01-25,CMCSA,,1.0,36.89,,,1,15,,15,,,,,,,,,,hpr_limit_exit,3.0,3.0,-58.92593811,58.92593811
enter,2019-01-29,PFE,2019-01-28,0.925,40.77,0.446184,0.446184,1,24,-1070.8416,24,41.0,2019-03-15,45.0,2244.0,6.0,0.0020156316,0.4753254870247206,44601.86365992303,1819.0921680000001,,,,,
enter,2019-01-29,AMGN,2019-01-28,7.15,192.11,0.555073,0.555073,1,2,-111.0146,2,190.0,2019-03-15,45.0,1432.0,4.0,0.0023056036,0.5246745129752793,46917.18083444933,10663.507403000001,,,,,
exit,2019-01-31,PFE,,0.925,40.77,,,1,24,,24,,,,,,,,,,hpr_limit_exit,3.0,3.0,-90.229106016,90.229106016
exit,2019-01-31,AMGN,,5.199999999999999,184.86,,,1,2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,291.18852340599983,31.891026593999996
enter,2019-04-23,KO,2019-04-22,1.03,48.21,0.561431,0.561431,1,16,-898.2896000000001,16,48.0,2019-06-21,59.0,1664.0,4.0,0.002579756,0.48626622261209296,45648.596742943504,2706.658851,,,,,
exit,2019-04-25,KO,,0.855,47.84,,,1,16,,16,,,,,,,,,,hpr_limit_exit,3.0,3.0,-41.84800716800217,62.817255168
enter,2019-04-30,PFE,2019-04-29,0.845,40.61,0.49703,0.49703,1,2,-99.406,2,40.5,2019-06-07,38.0,171.0,2.0,0.0032494897,0.5657931632168056,46940.07682819713,2018.43883,,,,,
exit,2019-05-02,PFE,,0.845,40.61,,,1,2,,2,,,,,,,,,,hpr_limit_exit,3.0,3.0,-7.39843883,7.39843883
